1-gram|count|2-gram|count|3-gram|count
россии|475|риа новости|307|передает риа новости|87
долларов|458|возбуждено уголовное|121|слова приводит риа|78
результате|374|слова приводит|98|приводит риа новости|78
новости|312|миллиарда долларов|97|слова передает риа|65
риа|311|передает риа|87|сумма сделки составила|51
сша|308|результате инцидента|83|встреча завершилась счетом|49
июня|292|сумма сделки|82|сообщает риа новости|38
отношении|265|приводит риа|78|результате инцидента пострадал|31
рублей|252|инцидент произошел|72|инцидент произошел июня|22
рф|229|слова передает|67|риа новости ссылкой|22
москвы|223|эхо москвы|64|составила миллиарда долларов|21
словам|196|завершилась счетом|62|агентство риа новости|20
слова|191|миллиардов долларов|60|россии владимир путин|20
ходе|181|встреча завершилась|60|сделки составила миллиарда|19
президента|174|таким образом|52|факту возбуждено уголовное|18
ранее|170|сделки составила|51|самопровозглашенной донецкой народной|18
тысячи|167|ранее сообщалось|50|президент россии владимир|18
среду|167|составляет долларов|47|факту произошедшего возбуждено|18
президент|158|миллиона долларов|45|пресс секретарь президента|18
уголовное|156|миллиардов рублей|43|произошедшего возбуждено уголовное|17
